"ファイル名","所在地","業種","延床面積","建築区分","契約電力"
"B11000004.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000005.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000007.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000008.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000010.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000012.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000014.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000015.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000016.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000017.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000018.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000022.csv","関東","医療，福祉","大規模","1棟","高圧小口"
"B11000031.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000033.csv","関東","製造業","大規模","1棟","高圧小口"
"B11000034.csv","関東","製造業","中規模","1棟","高圧小口"
"B11000074.csv","関東","金融業，保険業","大規模","1棟","高圧小口"
"B11000076.csv","関東","金融業，保険業","中規模","1棟","低圧"
"B11000077.csv","関東","金融業，保険業","中規模","1棟","低圧"
"B11000161.csv","関東","金融業，保険業","中規模","1棟","低圧"
"B11000162.csv","関東","金融業，保険業","中規模","1棟","低圧"
"B11000163.csv","関東","金融業，保険業","中規模","1棟","低圧"
"B11000224.csv","関東","医療，福祉","大規模","1棟","高圧"
"B11000233.csv","関東","医療，福祉","中規模","1棟","高圧小口"
"B11000239.csv","関東","教育，学習支援業","大規模","1棟","高圧"
"B11000246.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000249.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000251.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000252.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000253.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000254.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000255.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000256.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000261.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000264.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000268.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000271.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000272.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000273.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000275.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000281.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000282.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000283.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000284.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000285.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000286.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000287.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
