計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/05/01,01,60,,,7,17,,5
2013/05/01,02,59,,,6,17,,2
2013/05/01,03,60,,,5,16,,4
2013/05/01,04,62,,,8,16,,4
2013/05/01,05,56,,,10,19,,5
2013/05/01,06,44,,,8,16,,3
2013/05/01,07,55,,,15,22,,4
2013/05/01,08,74,,,17,28,,5
2013/05/01,09,75,,,27,32,,3
2013/05/01,10,91,,,35,32,,11
2013/05/01,11,102,,,25,40,,13
2013/05/01,12,104,,,23,36,,12
2013/05/01,13,94,,,20,33,,11
2013/05/01,14,93,,,31,33,,11
2013/05/01,15,96,,,25,34,,13
2013/05/01,16,93,,,13,33,,10
2013/05/01,17,86,,,10,32,,13
2013/05/01,18,84,,,9,30,,10
2013/05/01,19,65,,,6,26,,11
2013/05/01,20,54,,,8,22,,10
2013/05/01,21,49,,,9,18,,8
2013/05/01,22,42,,,9,17,,4
2013/05/01,23,67,,,9,16,,8
2013/05/01,24,62,,,6,17,,4
2013/05/02,01,60,,,7,16,,4
2013/05/02,02,61,,,8,15,,4
2013/05/02,03,66,,,11,16,,6
2013/05/02,04,63,,,7,15,,3
2013/05/02,05,49,,,8,17,,4
2013/05/02,06,48,,,10,18,,6
2013/05/02,07,62,,,16,21,,7
2013/05/02,08,78,,,23,28,,6
2013/05/02,09,91,,,29,35,,9
2013/05/02,10,100,,,36,36,,10
2013/05/02,11,103,,,23,41,,13
2013/05/02,12,106,,,20,40,,14
2013/05/02,13,96,,,19,33,,10
2013/05/02,14,92,,,25,34,,11
2013/05/02,15,94,,,18,34,,14
2013/05/02,16,90,,,11,35,,9
2013/05/02,17,86,,,9,33,,12
2013/05/02,18,91,,,10,33,,11
2013/05/02,19,71,,,6,27,,11
2013/05/02,20,56,,,8,25,,10
2013/05/02,21,47,,,7,19,,6
2013/05/02,22,44,,,10,18,,2
2013/05/02,23,72,,,9,17,,8
2013/05/02,24,66,,,9,18,,4
2013/05/03,01,69,,,11,16,,4
2013/05/03,02,66,,,10,16,,5
2013/05/03,03,65,,,10,16,,4
2013/05/03,04,71,,,11,17,,5
2013/05/03,05,57,,,11,18,,4
2013/05/03,06,50,,,12,16,,5
2013/05/03,07,60,,,18,24,,5
2013/05/03,08,80,,,21,26,,6
2013/05/03,09,75,,,26,32,,4
2013/05/03,10,92,,,31,35,,11
2013/05/03,11,88,,,27,38,,10
2013/05/03,12,96,,,22,36,,12
2013/05/03,13,87,,,21,33,,13
2013/05/03,14,89,,,32,30,,10
2013/05/03,15,88,,,31,34,,10
2013/05/03,16,74,,,18,33,,10
2013/05/03,17,72,,,17,31,,11
2013/05/03,18,68,,,13,31,,11
2013/05/03,19,55,,,8,24,,10
2013/05/03,20,70,,,5,20,,14
2013/05/03,21,65,,,4,18,,13
2013/05/03,22,51,,,8,18,,10
2013/05/03,23,78,,,11,17,,14
