"ファイル名","所在地","業種","延床面積","建築区分","契約電力"
"G16000168.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000337.csv","関東","製造業","中規模","1棟","高圧小口"
"G17000347.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G17000348.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000349.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000350.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000351.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000352.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000354.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000355.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G17000359.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000360.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000363.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G17000383.csv","関東","生活関連サービス業，娯楽業","中規模","テナント","高圧小口"
"G17000385.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000392.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G17000393.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000395.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000397.csv","関東","製造業","大規模","1棟","高圧"
"G17000401.csv","関東","教育，学習支援業","大規模","1棟","高圧小口"
"G17000407.csv","関東","製造業","大規模","1棟","高圧小口"
"G17000409.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G17000410.csv","関東","製造業","中規模","1棟","高圧小口"
"G17000411.csv","関東","製造業","大規模","1棟","高圧小口"
"G17000417.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000419.csv","関東","製造業","大規模","1棟","高圧小口"
"G17000423.csv","関東","サービス業（他に分類されないもの）","大規模","1棟","高圧小口"
"G17000426.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000427.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000428.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000429.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G17000432.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000433.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000434.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000442.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000443.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000449.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G17000452.csv","関東","製造業","中規模","1棟","高圧小口"
"G17000453.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G17000469.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G17000474.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000475.csv","関東","製造業","中規模","1棟","高圧小口"
"G17000479.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000484.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000489.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000492.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G17000496.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G17000511.csv","関東","サービス業（他に分類されないもの）","大規模","1棟","高圧小口"
"G17000524.csv","関東","生活関連サービス業，娯楽業","中規模","テナント","高圧小口"
"G17000528.csv","関東","医療，福祉","大規模","1棟","高圧小口"
"G17000529.csv","関東","製造業","大規模","1棟","高圧小口"
"G17000551.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000562.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000588.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000605.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G17000606.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G17000615.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000617.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000618.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000623.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000625.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000635.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000636.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000638.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000642.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000657.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000661.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000663.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000664.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000665.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000679.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000680.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000681.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000683.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000684.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G17000685.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000686.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000687.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000698.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G17000699.csv","関東","卸売業，小売業","中規模","1棟","低圧"
"G18000337.csv","関東","製造業","中規模","1棟","高圧小口"
"G18000347.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G18000348.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000349.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000350.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000351.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000352.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000354.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000355.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G18000363.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G18000383.csv","関東","生活関連サービス業，娯楽業","中規模","テナント","高圧小口"
"G18000385.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000392.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G18000393.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000395.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000397.csv","関東","製造業","大規模","1棟","高圧"
"G18000401.csv","関東","教育，学習支援業","大規模","1棟","高圧小口"
"G18000407.csv","関東","製造業","大規模","1棟","高圧小口"
"G18000409.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G18000410.csv","関東","製造業","中規模","1棟","高圧小口"
"G18000411.csv","関東","製造業","大規模","1棟","高圧小口"
"G18000415.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
