計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2018/04/01,1,19,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,16
2018/04/01,2,19,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,16
2018/04/01,3,19,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,16
2018/04/01,4,16,,1,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,13
2018/04/01,5,16,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,13
2018/04/01,6,16,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,13
2018/04/01,7,15,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,12
2018/04/01,8,15,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,9,15,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,10,14,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,11,14,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,10
2018/04/01,12,14,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,13,14,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,14,14,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,11
2018/04/01,15,13,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,10
2018/04/01,16,13,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,10
2018/04/01,17,13,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,10
2018/04/01,18,13,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,10
2018/04/01,19,12,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,9
2018/04/01,20,12,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,9
2018/04/01,21,12,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,9
2018/04/01,22,11,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,8
2018/04/01,23,10,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,7
2018/04/01,24,9,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,6
2018/04/01,25,9,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,6
2018/04/01,26,9,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,6
2018/04/01,27,10,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,7
2018/04/01,28,9,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,6
2018/04/01,29,9,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,6
2018/04/01,30,9,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,6
