計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2015/04/01,1,170,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,2,160,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,3,160,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,4,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,5,160,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,6,140,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,7,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,8,160,1,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,9,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,10,140,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,11,160,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,12,160,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,13,160,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,14,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,15,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,4,,,,,,,0
2015/04/01,16,180,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,17,210,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,5,,,,,,,0
2015/04/01,18,300,1,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,19,350,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,20,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,21,380,0,1,0,0,3,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,22,360,0,0,0,0,4,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,23,370,0,0,0,0,3,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,24,370,0,1,0,0,3,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,25,350,0,0,0,0,3,0,,,,,,,,,,,,,,0,,,,4,,,,,,,0
2015/04/01,26,360,0,1,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,27,380,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,28,360,1,1,0,0,2,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,29,390,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,30,380,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,31,370,0,1,0,0,1,1,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,32,370,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,33,390,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,34,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,3,,,,,,,0
2015/04/01,35,380,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,36,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,37,300,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/01,38,290,1,1,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,39,280,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,40,250,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,41,230,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/01,42,230,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,43,210,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,44,190,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,45,190,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,7000000
2015/04/01,46,170,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,47,170,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/01,48,150,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,1,170,1,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,2,160,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,3,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,4,140,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,5,140,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,6,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,7,140,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,8,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,9,130,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,10,150,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,11,130,1,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,12,160,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,13,150,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,14,170,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,15,180,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,3,,,,,,,0
2015/04/02,16,200,0,1,0,0,2,0,,,,,,,,,,,,,,0,,,,4,,,,,,,0
2015/04/02,17,230,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,4,,,,,,,0
2015/04/02,18,310,0,0,0,0,3,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,19,360,0,1,0,0,2,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,20,370,0,0,0,0,3,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,21,380,1,0,0,0,3,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,22,380,0,1,0,0,3,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,23,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,24,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,25,360,0,1,0,0,3,0,,,,,,,,,,,,,,0,,,,5,,,,,,,0
2015/04/02,26,370,0,0,0,0,2,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,27,380,0,1,0,0,3,0,,,,,,,,,,,,,,0,,,,4,,,,,,,0
2015/04/02,28,380,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,29,390,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,30,380,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,31,390,1,0,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,32,380,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,33,380,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,34,400,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,35,380,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,36,370,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,37,300,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,38,280,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,2,,,,,,,0
2015/04/02,39,250,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,40,250,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,41,240,1,0,0,0,0,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,42,220,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,1,,,,,,,0
2015/04/02,43,220,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,44,210,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,45,210,1,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,7500000
2015/04/02,46,190,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,47,180,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/02,48,180,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,1,180,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,2,170,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,3,160,0,1,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,4,160,1,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,5,150,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,6,170,0,1,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
2015/04/03,7,160,0,0,0,0,1,0,,,,,,,,,,,,,,0,,,,0,,,,,,,0
