計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/03/01,01,16,3,,,,,
2013/03/01,02,16,3,,,,,
2013/03/01,03,16,3,,,,,
2013/03/01,04,16,3,,,,,
2013/03/01,05,16,3,,,,,
2013/03/01,06,16,3,,,,,
2013/03/01,07,16,3,,,,,
2013/03/01,08,16,3,,,,,
2013/03/01,09,82,45,,,,,
2013/03/01,10,185,73,,,,,
2013/03/01,11,177,58,,,,,
2013/03/01,12,163,49,,,,,
2013/03/01,13,160,44,,,,,
2013/03/01,14,164,44,,,,,
2013/03/01,15,159,41,,,,,
2013/03/01,16,167,41,,,,,
2013/03/01,17,176,42,,,,,
2013/03/01,18,187,41,,,,,
2013/03/01,19,175,41,,,,,
2013/03/01,20,177,43,,,,,
2013/03/01,21,165,43,,,,,
2013/03/01,22,122,44,,,,,
2013/03/01,23,16,3,,,,,
2013/03/01,24,16,3,,,,,
2013/03/02,01,16,3,,,,,
2013/03/02,02,16,3,,,,,
2013/03/02,03,16,3,,,,,
2013/03/02,04,16,3,,,,,
2013/03/02,05,16,3,,,,,
2013/03/02,06,16,3,,,,,
2013/03/02,07,16,3,,,,,
2013/03/02,08,15,3,,,,,
2013/03/02,09,80,45,,,,,
2013/03/02,10,173,77,,,,,
2013/03/02,11,174,61,,,,,
2013/03/02,12,168,53,,,,,
2013/03/02,13,161,47,,,,,
2013/03/02,14,159,44,,,,,
2013/03/02,15,158,41,,,,,
2013/03/02,16,167,39,,,,,
2013/03/02,17,175,40,,,,,
2013/03/02,18,187,49,,,,,
2013/03/02,19,198,59,,,,,
2013/03/02,20,198,63,,,,,
2013/03/02,21,187,63,,,,,
2013/03/02,22,164,66,,,,,
2013/03/02,23,131,52,,,,,
2013/03/02,24,21,3,,,,,
2013/03/03,01,18,4,,,,,
2013/03/03,02,18,5,,,,,
2013/03/03,03,18,5,,,,,
2013/03/03,04,18,5,,,,,
2013/03/03,05,18,5,,,,,
2013/03/03,06,19,5,,,,,
2013/03/03,07,18,5,,,,,
2013/03/03,08,18,5,,,,,
2013/03/03,09,120,70,,,,,
2013/03/03,10,187,87,,,,,
2013/03/03,11,196,70,,,,,
2013/03/03,12,179,62,,,,,
2013/03/03,13,173,57,,,,,
2013/03/03,14,172,58,,,,,
2013/03/03,15,177,58,,,,,
2013/03/03,16,186,58,,,,,
2013/03/03,17,195,59,,,,,
2013/03/03,18,197,62,,,,,
2013/03/03,19,199,64,,,,,
2013/03/03,20,198,63,,,,,
2013/03/03,21,185,62,,,,,
2013/03/03,22,159,63,,,,,
2013/03/03,23,152,67,,,,,
2013/03/03,24,154,70,,,,,
2013/03/04,01,82,35,,,,,
2013/03/04,02,17,3,,,,,
2013/03/04,03,17,3,,,,,
2013/03/04,04,17,3,,,,,
2013/03/04,05,17,3,,,,,
2013/03/04,06,17,3,,,,,
2013/03/04,07,17,4,,,,,
2013/03/04,08,17,3,,,,,
2013/03/04,09,18,3,,,,,
2013/03/04,10,122,46,,,,,
2013/03/04,11,210,97,,,,,
2013/03/04,12,187,73,,,,,
2013/03/04,13,196,76,,,,,
2013/03/04,14,190,73,,,,,
2013/03/04,15,188,70,,,,,
2013/03/04,16,201,73,,,,,
2013/03/04,17,213,78,,,,,
2013/03/04,18,214,78,,,,,
2013/03/04,19,218,82,,,,,
2013/03/04,20,218,82,,,,,
2013/03/04,21,209,86,,,,,
2013/03/04,22,170,87,,,,,
2013/03/04,23,19,3,,,,,
2013/03/04,24,19,3,,,,,
2013/03/05,01,20,4,,,,,
2013/03/05,02,20,4,,,,,
2013/03/05,03,20,5,,,,,
2013/03/05,04,20,5,,,,,
2013/03/05,05,20,5,,,,,
2013/03/05,06,19,5,,,,,
2013/03/05,07,20,5,,,,,
2013/03/05,08,19,4,,,,,
2013/03/05,09,80,46,,,,,
2013/03/05,10,234,122,,,,,
2013/03/05,11,188,73,,,,,
2013/03/05,12,182,64,,,,,
2013/03/05,13,171,57,,,,,
2013/03/05,14,164,52,,,,,
2013/03/05,15,164,48,,,,,
2013/03/05,16,176,50,,,,,
2013/03/05,17,188,55,,,,,
2013/03/05,18,195,60,,,,,
2013/03/05,19,198,63,,,,,
2013/03/05,20,200,65,,,,,
2013/03/05,21,208,68,,,,,
2013/03/05,22,160,72,,,,,
2013/03/05,23,41,17,,,,,
2013/03/05,24,17,3,,,,,
2013/03/06,01,17,3,,,,,
2013/03/06,02,17,3,,,,,
2013/03/06,03,17,3,,,,,
2013/03/06,04,18,4,,,,,
2013/03/06,05,19,5,,,,,
2013/03/06,06,19,5,,,,,
2013/03/06,07,19,5,,,,,
2013/03/06,08,18,4,,,,,
2013/03/06,09,88,50,,,,,
2013/03/06,10,200,95,,,,,
2013/03/06,11,190,70,,,,,
2013/03/06,12,171,58,,,,,
2013/03/06,13,160,46,,,,,
2013/03/06,14,159,38,,,,,
2013/03/06,15,149,32,,,,,
2013/03/06,16,157,30,,,,,
2013/03/06,17,165,31,,,,,
2013/03/06,18,146,8,,,,,
2013/03/06,19,154,5,,,,,
2013/03/06,20,148,5,,,,,
2013/03/06,21,130,5,,,,,
2013/03/06,22,87,5,,,,,
2013/03/06,23,18,3,,,,,
2013/03/06,24,16,3,,,,,
2013/03/07,01,17,3,,,,,
2013/03/07,02,17,3,,,,,
2013/03/07,03,17,3,,,,,
2013/03/07,04,16,3,,,,,
2013/03/07,05,16,3,,,,,
2013/03/07,06,16,3,,,,,
2013/03/07,07,16,3,,,,,
2013/03/07,08,22,3,,,,,
2013/03/07,09,30,3,,,,,
2013/03/07,10,104,5,,,,,
2013/03/07,11,118,5,,,,,
2013/03/07,12,119,5,,,,,
2013/03/07,13,119,5,,,,,
2013/03/07,14,118,5,,,,,
2013/03/07,15,121,5,,,,,
2013/03/07,16,130,5,,,,,
2013/03/07,17,145,5,,,,,
2013/03/07,18,139,5,,,,,
2013/03/07,19,139,5,,,,,
2013/03/07,20,139,5,,,,,
2013/03/07,21,127,5,,,,,
2013/03/07,22,91,5,,,,,
2013/03/07,23,35,4,,,,,
2013/03/07,24,17,3,,,,,
2013/03/08,01,17,3,,,,,
2013/03/08,02,17,3,,,,,
2013/03/08,03,16,3,,,,,
2013/03/08,04,17,3,,,,,
2013/03/08,05,16,3,,,,,
2013/03/08,06,17,3,,,,,
2013/03/08,07,17,3,,,,,
2013/03/08,08,16,3,,,,,
2013/03/08,09,24,3,,,,,
2013/03/08,10,144,38,,,,,
2013/03/08,11,179,47,,,,,
2013/03/08,12,149,32,,,,,
2013/03/08,13,141,24,,,,,
2013/03/08,14,135,20,,,,,
2013/03/08,15,135,16,,,,,
2013/03/08,16,145,17,,,,,
2013/03/08,17,144,9,,,,,
2013/03/08,18,140,4,,,,,
2013/03/08,19,145,10,,,,,
2013/03/08,20,152,14,,,,,
2013/03/08,21,145,15,,,,,
2013/03/08,22,103,21,,,,,
2013/03/08,23,38,9,,,,,
2013/03/08,24,16,3,,,,,
2013/03/09,01,16,3,,,,,
2013/03/09,02,16,3,,,,,
2013/03/09,03,16,3,,,,,
2013/03/09,04,15,3,,,,,
2013/03/09,05,16,3,,,,,
2013/03/09,06,16,3,,,,,
2013/03/09,07,16,3,,,,,
2013/03/09,08,16,3,,,,,
2013/03/09,09,48,18,,,,,
2013/03/09,10,127,29,,,,,
2013/03/09,11,126,13,,,,,
2013/03/09,12,120,6,,,,,
2013/03/09,13,118,4,,,,,
2013/03/09,14,116,3,,,,,
2013/03/09,15,121,5,,,,,
2013/03/09,16,155,18,,,,,
2013/03/09,17,156,17,,,,,
2013/03/09,18,151,15,,,,,
2013/03/09,19,143,10,,,,,
2013/03/09,20,140,7,,,,,
2013/03/09,21,126,5,,,,,
2013/03/09,22,86,5,,,,,
2013/03/09,23,31,3,,,,,
2013/03/09,24,17,3,,,,,
2013/03/10,01,17,3,,,,,
2013/03/10,02,17,3,,,,,
2013/03/10,03,16,3,,,,,
2013/03/10,04,17,3,,,,,
2013/03/10,05,16,3,,,,,
2013/03/10,06,17,3,,,,,
2013/03/10,07,17,3,,,,,
2013/03/10,08,17,3,,,,,
2013/03/10,09,51,4,,,,,
2013/03/10,10,105,4,,,,,
2013/03/10,11,116,4,,,,,
2013/03/10,12,119,5,,,,,
2013/03/10,13,121,5,,,,,
2013/03/10,14,119,4,,,,,
2013/03/10,15,128,11,,,,,
2013/03/10,16,144,17,,,,,
2013/03/10,17,173,23,,,,,
2013/03/10,18,151,14,,,,,
2013/03/10,19,147,4,,,,,
2013/03/10,20,138,4,,,,,
2013/03/10,21,125,5,,,,,
2013/03/10,22,97,4,,,,,
2013/03/10,23,61,3,,,,,
2013/03/10,24,16,3,,,,,
2013/03/11,01,16,3,,,,,
2013/03/11,02,17,3,,,,,
2013/03/11,03,18,4,,,,,
2013/03/11,04,18,4,,,,,
2013/03/11,05,18,5,,,,,
2013/03/11,06,18,5,,,,,
2013/03/11,07,18,5,,,,,
2013/03/11,08,18,4,,,,,
2013/03/11,09,24,3,,,,,
2013/03/11,10,162,58,,,,,
2013/03/11,11,152,33,,,,,
2013/03/11,12,138,20,,,,,
2013/03/11,13,131,13,,,,,
2013/03/11,14,137,8,,,,,
2013/03/11,15,124,7,,,,,
2013/03/11,16,138,7,,,,,
2013/03/11,17,145,8,,,,,
2013/03/11,18,154,14,,,,,
2013/03/11,19,160,20,,,,,
2013/03/11,20,165,22,,,,,
2013/03/11,21,150,24,,,,,
2013/03/11,22,114,26,,,,,
2013/03/11,23,25,7,,,,,
2013/03/11,24,25,7,,,,,
2013/03/12,01,26,7,,,,,
2013/03/12,02,26,8,,,,,
2013/03/12,03,26,8,,,,,
2013/03/12,04,26,8,,,,,
2013/03/12,05,29,10,,,,,
2013/03/12,06,30,11,,,,,
2013/03/12,07,30,10,,,,,
2013/03/12,08,29,10,,,,,
2013/03/12,09,31,10,,,,,
2013/03/12,10,188,83,,,,,
2013/03/12,11,166,49,,,,,
2013/03/12,12,157,40,,,,,
2013/03/12,13,123,7,,,,,
2013/03/12,14,122,7,,,,,
2013/03/12,15,133,14,,,,,
2013/03/12,16,145,17,,,,,
2013/03/12,17,155,21,,,,,
2013/03/12,18,139,4,,,,,
2013/03/12,19,150,6,,,,,
2013/03/12,20,146,7,,,,,
2013/03/12,21,133,8,,,,,
2013/03/12,22,91,11,,,,,
2013/03/12,23,20,3,,,,,
2013/03/12,24,20,3,,,,,
2013/03/13,01,20,3,,,,,
2013/03/13,02,20,3,,,,,
2013/03/13,03,20,3,,,,,
2013/03/13,04,20,3,,,,,
2013/03/13,05,20,3,,,,,
2013/03/13,06,20,3,,,,,
2013/03/13,07,20,3,,,,,
2013/03/13,08,20,3,,,,,
2013/03/13,09,39,16,,,,,
2013/03/13,10,196,91,,,,,
2013/03/13,11,159,43,,,,,
2013/03/13,12,155,44,,,,,
2013/03/13,13,128,16,,,,,
2013/03/13,14,122,11,,,,,
2013/03/13,15,124,10,,,,,
2013/03/13,16,134,10,,,,,
2013/03/13,17,145,13,,,,,
2013/03/13,18,151,19,,,,,
2013/03/13,19,155,22,,,,,
2013/03/13,20,157,25,,,,,
2013/03/13,21,143,23,,,,,
2013/03/13,22,92,16,,,,,
2013/03/13,23,18,4,,,,,
2013/03/13,24,17,4,,,,,
2013/03/14,01,18,4,,,,,
2013/03/14,02,17,4,,,,,
2013/03/14,03,17,4,,,,,
