計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/04/01,01,68,9,,4,39,,15
2013/04/01,02,68,9,,4,39,,15
2013/04/01,03,68,9,,4,40,,15
2013/04/01,04,68,9,,4,39,,15
2013/04/01,05,68,9,,4,40,,15
2013/04/01,06,69,9,,4,40,,15
2013/04/01,07,86,11,,5,55,,15
2013/04/01,08,119,28,,6,70,,16
2013/04/01,09,207,58,,8,124,,16
2013/04/01,10,249,58,,8,167,,16
2013/04/01,11,238,47,,8,167,,16
2013/04/01,12,230,43,,8,164,,15
2013/04/01,13,206,38,,10,142,,16
2013/04/01,14,228,39,,9,164,,16
2013/04/01,15,237,46,,10,165,,15
2013/04/01,16,238,47,,11,164,,16
2013/04/01,17,234,48,,9,161,,16
2013/04/01,18,229,44,,9,159,,16
2013/04/01,19,199,31,,10,142,,16
2013/04/01,20,178,26,,9,127,,16
2013/04/01,21,148,15,,8,110,,16
2013/04/01,22,136,17,,7,97,,15
2013/04/01,23,120,15,,6,84,,15
2013/04/02,01,86,11,,6,53,,15
2013/04/02,02,83,13,,5,50,,15
2013/04/02,03,79,11,,5,48,,15
2013/04/02,04,80,13,,5,47,,15
2013/04/02,05,77,11,,5,46,,16
2013/04/02,06,77,11,,4,46,,15
2013/04/02,07,94,16,,5,58,,15
2013/04/02,08,115,25,,6,70,,15
2013/04/02,09,193,47,,8,121,,16
2013/04/02,10,243,59,,8,160,,16
2013/04/02,11,239,54,,8,161,,16
2013/04/02,12,239,53,,8,162,,16
2013/04/02,13,224,55,,10,143,,16
2013/04/02,14,241,51,,10,164,,16
2013/04/02,15,244,51,,9,167,,16
2013/04/02,16,238,47,,9,166,,16
2013/04/02,17,244,51,,10,168,,16
2013/04/02,18,236,48,,9,163,,16
2013/04/02,19,210,36,,9,149,,16
2013/04/02,20,198,35,,9,138,,16
2013/04/02,21,169,27,,8,117,,16
2013/04/02,22,157,27,,7,108,,16
2013/04/02,23,138,22,,7,93,,16
2013/04/02,24,97,14,,6,62,,15
2013/04/03,01,98,15,,6,62,,16
2013/04/03,02,98,15,,6,62,,16
2013/04/03,03,95,18,,6,56,,16
2013/04/03,04,83,15,,6,47,,15
2013/04/03,05,84,18,,6,45,,15
2013/04/03,06,81,15,,6,45,,15
2013/04/03,07,99,20,,6,58,,15
2013/04/03,08,128,34,,7,73,,15
2013/04/03,09,197,51,,9,120,,16
2013/04/03,10,237,55,,9,158,,16
2013/04/03,11,233,47,,8,162,,16
2013/04/03,12,233,48,,8,161,,16
2013/04/03,13,224,49,,10,149,,16
2013/04/03,14,238,49,,8,164,,16
2013/04/03,15,244,54,,9,166,,16
2013/04/03,16,239,49,,10,165,,16
2013/04/03,17,240,49,,11,164,,16
2013/04/03,18,221,37,,10,158,,16
2013/04/03,19,200,35,,9,140,,16
2013/04/03,20,179,27,,8,128,,16
2013/04/03,21,158,26,,7,108,,16
2013/04/03,22,145,25,,7,98,,16
2013/04/03,23,129,23,,6,84,,16
2013/04/03,24,117,19,,6,77,,16
2013/04/04,01,101,21,,5,59,,16
2013/04/04,02,89,17,,6,51,,16
2013/04/04,03,81,13,,5,47,,16
2013/04/04,04,83,16,,6,46,,15
2013/04/04,05,83,16,,5,46,,16
2013/04/04,06,83,16,,5,46,,16
2013/04/04,07,92,15,,5,56,,15
2013/04/04,08,133,40,,7,70,,16
2013/04/04,09,186,38,,11,122,,16
2013/04/04,10,225,41,,10,159,,15
2013/04/04,11,233,45,,9,162,,16
2013/04/04,12,234,48,,8,163,,15
2013/04/04,13,219,47,,11,145,,16
2013/04/04,14,239,48,,10,165,,16
2013/04/04,15,240,51,,10,163,,16
2013/04/04,16,248,61,,10,162,,15
2013/04/04,17,237,52,,9,159,,16
2013/04/04,18,235,52,,11,156,,16
2013/04/04,19,206,41,,9,141,,16
2013/04/04,20,191,34,,8,132,,16
2013/04/04,21,180,39,,7,118,,16
2013/04/04,22,164,33,,7,108,,16
2013/04/04,23,141,27,,7,90,,16
2013/04/04,24,120,26,,6,72,,16
2013/04/05,01,100,18,,6,60,,15
2013/04/05,02,91,18,,6,53,,15
2013/04/05,03,90,17,,6,52,,15
2013/04/05,04,90,17,,6,52,,15
2013/04/05,05,88,14,,6,52,,15
2013/04/05,06,88,16,,6,51,,15
2013/04/05,07,89,14,,6,53,,15
2013/04/05,08,117,28,,7,66,,15
2013/04/05,09,180,36,,10,118,,16
2013/04/05,10,235,51,,9,159,,16
2013/04/05,11,237,49,,9,163,,16
2013/04/05,12,238,51,,9,162,,16
2013/04/05,13,227,54,,11,147,,16
2013/04/05,14,245,54,,11,165,,16
2013/04/05,15,255,63,,12,164,,16
2013/04/05,16,254,66,,12,160,,16
2013/04/05,17,253,66,,13,158,,16
2013/04/05,18,244,57,,12,158,,16
2013/04/05,19,219,53,,11,139,,16
2013/04/05,20,190,42,,9,122,,16
2013/04/05,21,169,38,,8,107,,16
2013/04/05,22,157,39,,7,96,,16
2013/04/05,23,132,29,,7,80,,16
2013/04/05,24,124,26,,6,76,,15
2013/04/06,01,75,13,,7,41,,15
2013/04/06,02,71,12,,6,38,,15
2013/04/06,03,75,15,,6,38,,15
2013/04/06,04,71,11,,6,39,,16
2013/04/06,05,75,14,,6,40,,15
2013/04/06,06,73,12,,6,39,,15
2013/04/06,07,80,14,,6,44,,15
2013/04/06,08,73,12,,6,40,,15
2013/04/06,09,79,14,,6,43,,16
2013/04/06,10,88,19,,6,48,,15
2013/04/06,11,93,17,,6,54,,16
2013/04/06,12,107,23,,6,62,,16
2013/04/06,13,101,18,,6,62,,15
2013/04/06,14,103,18,,6,63,,15
2013/04/06,15,107,19,,7,65,,16
2013/04/06,16,106,18,,6,67,,15
2013/04/06,17,104,15,,6,66,,15
2013/04/06,18,108,17,,6,69,,15
2013/04/06,19,108,17,,7,69,,15
2013/04/06,20,102,17,,6,64,,15
2013/04/06,21,95,13,,7,59,,15
2013/04/06,22,78,11,,6,45,,15
2013/04/06,23,76,14,,7,40,,15
2013/04/06,24,97,20,,7,55,,16
2013/04/07,01,75,12,,7,40,,15
2013/04/07,02,75,13,,7,40,,15
2013/04/07,03,73,11,,6,40,,15
2013/04/07,04,76,14,,7,40,,16
2013/04/07,05,73,12,,6,40,,15
2013/04/07,06,76,14,,6,40,,15
2013/04/07,07,73,12,,7,40,,16
2013/04/07,08,75,13,,7,40,,15
2013/04/07,09,75,14,,6,40,,15
2013/04/07,10,75,12,,6,42,,15
2013/04/07,11,80,16,,6,43,,15
2013/04/07,12,78,12,,6,44,,15
2013/04/07,13,83,13,,7,48,,16
2013/04/07,14,86,15,,7,49,,15
2013/04/07,15,86,13,,7,50,,15
2013/04/07,16,89,15,,8,51,,15
2013/04/07,17,84,13,,7,48,,15
2013/04/07,18,85,14,,7,49,,15
2013/04/07,19,85,16,,6,47,,15
2013/04/07,20,81,12,,6,48,,15
2013/04/07,21,84,14,,6,48,,15
2013/04/07,22,77,11,,6,45,,15
2013/04/07,23,75,10,,6,44,,15
2013/04/07,24,73,11,,7,40,,15
2013/04/08,01,72,11,,6,40,,15
