"ファイル名","所在地","業種","延床面積","建築区分","契約電力"
"B11000004.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000005.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000007.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000008.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000010.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000012.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000014.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000015.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000016.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000017.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"B11000018.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"B11000019.csv","中部","卸売業，小売業","大規模","1棟","高圧小口"
"B11000020.csv","中部","卸売業，小売業","大規模","1棟","高圧小口"
"B11000021.csv","中部","製造業","中規模","1棟","高圧小口"
"B11000022.csv","関東","医療，福祉","大規模","1棟","高圧小口"
"B11000024.csv","関西","卸売業，小売業","大規模","1棟","高圧小口"
"B11000028.csv","関西","製造業","大規模","1棟","高圧小口"
"B11000031.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"B11000032.csv","中部","生活関連サービス業，娯楽業","大規模","1棟","高圧小口"
"B11000033.csv","関東","製造業","大規模","1棟","高圧小口"
"B11000034.csv","関東","製造業","中規模","1棟","高圧小口"
"B11000035.csv","関西","製造業","大規模","1棟","高圧小口"
"B11000040.csv","関西","金融業，保険業","大規模","1棟","高圧小口"
"B11000041.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000042.csv","関西","金融業，保険業","中規模","1棟","高圧小口"
"B11000043.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000044.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000045.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000046.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000047.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000048.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000049.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000050.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000051.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000052.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000053.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000054.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000055.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000059.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000060.csv","関西","金融業，保険業","中規模","1棟","低圧"
"B11000061.csv","中部","金融業，保険業","中規模","1棟","低圧"
"B11000063.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000065.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000066.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000067.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000069.csv","中国","金融業，保険業","中規模","1棟","低圧"
"B11000070.csv","中国","金融業，保険業","中規模","1棟","高圧小口"
"B11000072.csv","関西","金融業，保険業","中規模","1棟","低圧"
