Hour,Procured,Selected_Consumers,Total_Mean,Difference
1,0.0,,0.0,0.0
2,0.0,,0.0,0.0
3,0.0,,0.0,0.0
4,0.0,,0.0,0.0
5,0.0,,0.0,0.0
6,0.0,,0.0,0.0
7,0.0,,0.0,0.0
8,0.0,,0.0,0.0
9,0.0,,0.0,0.0
10,0.0,,0.0,0.0
11,0.0,,0.0,0.0
12,0.0,,0.0,0.0
13,0.0,,0.0,0.0
14,0.0,,0.0,0.0
15,803.601275239107,B11000162;B11000286;B11000298;B11000306;B11000388;B11000411;B11000592;B11000613;B11000680;B11000789;B11000802;B11000841;B11000866;B11001264;B11001691;B11001786;B11001821;B11001921;B11001922;B11001931;B11001992;B11002080;B11002157;B11002158;B11003237;B11003267;B11003337;B11003346;B11006092;B11006116;B11006307,803.6065573770492,0.005282137942117515
16,803.3912858660997,B11000284;B11000353;B11000613;B11000680;B11000919;B11001618;B11001620;B11002013;B11002076;B11003237;B11003278;B11005129;B11005133;B11005967;B11005969;B11006089;B11006110;B11006119,803.3934426229508,0.0021567568511500212
17,809.8524973432518,B11000328;B11000596;B11001003;B11001081;B11001618;B11001686;B11001926;B11001954;B11002005;B11003237;B11003337;B11004709;B11005972;B11006093;B11006130;B11006303,809.8524590163935,3.8326858316395374e-05
18,815.2189160467587,B11000076;B11000077;B11000161;B11000162;B11000298;B11000299;B11000300;B11000301;B11000304;B11000305;B11000306;B11000324;B11000325;B11000326;B11000387;B11000388;B11000400;B11000401;B11000402;B11000403;B11000404;B11000408;B11000409;B11000410;B11000411;B11000412;B11000444;B11000446;B11000513;B11000514;B11000515;B11000516;B11000517;B11000518;B11000555;B11000556;B11000559;B11000562;B11000564;B11000565;B11000572;B11000578;B11000582;B11000583;B11000593;B11000594;B11000595;B11000596;B11000597;B11000598;B11000599;B11000600;B11000720;B11000756;B11000757;B11000758;B11000759;B11000760;B11000762;B11000763;B11000764;B11000765;B11000766;B11000767;B11000768;B11000789;B11000790;B11000791;B11000792;B11000793;B11000795;B11000797;B11000798;B11000799;B11000801;B11000802;B11000803;B11000805;B11000843;B11000844;B11000845;B11000846;B11000866;B11000868;B11000869;B11000877;B11001094;B11001099;B11001527;B11001787;B11001799;B11001828;B11001919;B11001927;B11001933;B11001938;B11001944;B11001955;B11001966;B11001968;B11001974;B11001977;B11001998;B11002002;B11002110;B11002149;B11002157;B11002159;B11002171;B11003270;B11004472;B11004473;B11004475;B11006092,815.2131147540983,0.005801292660407853
19,831.8926673751325,B11000409;B11000601;B11000613;B11000766;B11000843;B11001012;B11001060;B11001099;B11001270;B11001699;B11001827;B11001922;B11001924;B11001998;B11002092;B11002095;B11003237;B11003238;B11003279;B11006125,831.8852459016393,0.007421473493195663
20,821.766631243358,B11000302;B11000404;B11000444;B11000601;B11000613;B11000627;B11001003;B11001025;B11001086;B11001270;B11001687;B11001799;B11001816;B11001914;B11001934;B11001993;B11002079;B11003267;B11003270;B11003276;B11003349;B11006110,821.7704918032787,0.0038605599206675834
21,0.0,,0.0,0.0
22,0.0,,0.0,0.0
23,0.0,,0.0,0.0
24,0.0,,0.0,0.0
