Hour,Procured,Selected_Consumers,Total_Mean,Difference
1,0.0,,0.0,0.0
2,0.0,,0.0,0.0
3,0.0,,0.0,0.0
4,0.0,,0.0,0.0
5,0.0,,0.0,0.0
6,0.0,,0.0,0.0
7,0.0,,0.0,0.0
8,0.0,,0.0,0.0
9,0.0,,0.0,0.0
10,0.0,,0.0,0.0
11,11580.586885245895,B11000012;B11000031;B11000077;B11000161;B11000163;B11000233;B11000246;B11000254;B11000264;B11000271;B11000275;B11000284;B11000301;B11000304;B11000328;B11000374;B11000388;B11000402;B11000404;B11000411;B11000518;B11000564;B11000565;B11000583;B11000594;B11000613;B11000714;B11000733;B11000739;B11000742;B11000757;B11000767;B11000792;B11000793;B11000795;B11000798;B11000799;B11000800;B11000801;B11000803;B11000804;B11000841;B11000844;B11000845;B11000868;B11000880;B11000912;B11000921;B11000958;B11000960;B11000962;B11000963;B11000966;B11000967;B11000971;B11000972;B11000975;B11000977;B11000981;B11000982;B11000983;B11000984;B11000989;B11000994;B11000995;B11000996;B11000997;B11001000;B11001006;B11001007;B11001009;B11001015;B11001016;B11001026;B11001027;B11001029;B11001031;B11001032;B11001034;B11001035;B11001036;B11001038;B11001039;B11001040;B11001041;B11001042;B11001043;B11001044;B11001058;B11001060;B11001069;B11001080;B11001081;B11001082;B11001083;B11001084;B11001085;B11001086;B11001087;B11001094;B11001111;B11001113;B11001137;B11001157;B11001264;B11001266;B11001268;B11001270;B11001369;B11001370;B11001371;B11001512;B11001528;B11001608;B11001612;B11001614;B11001615;B11001617;B11001618;B11001620;B11001659;B11001662;B11001668;B11001669;B11001670;B11001673;B11001681;B11001684;B11001686;B11001688;B11001703;B11001709;B11001749;B11001750;B11001751;B11001756;B11001758;B11001763;B11001767;B11001769;B11001771;B11001774;B11001779;B11001781;B11001782;B11001783;B11001785;B11001786;B11001788;B11001790;B11001791;B11001795;B11001797;B11001799;B11001800;B11001801;B11001803;B11001814;B11001818;B11001822;B11001823;B11001827;B11001829;B11001833;B11001835;B11001837;B11001839;B11001840;B11001841;B11001842;B11001845;B11001910;B11001911;B11001916;B11001921;B11001924;B11001925;B11001929;B11001931;B11001932;B11001935;B11001936;B11001937;B11001940;B11001941;B11001942;B11001944;B11001947;B11001951;B11001969;B11001972;B11001974;B11001978;B11001979;B11001980;B11001982;B11001996;B11001998;B11002001;B11002002;B11002004;B11002005;B11002006;B11002009;B11002011;B11002012;B11002014;B11002019;B11002022;B11002023;B11002030;B11002033;B11002035;B11002038;B11002040;B11002044;B11002045;B11002047;B11002050;B11002052;B11002053;B11002054;B11002056;B11002058;B11002059;B11002060;B11002061;B11002063;B11002065;B11002066;B11002069;B11002070;B11002071;B11002073;B11002078;B11002079;B11002080;B11002082;B11002083;B11002084;B11002085;B11002088;B11002092;B11002093;B11002106;B11002109;B11002115;B11002121;B11002122;B11002126;B11002127;B11002128;B11002129;B11002130;B11002132;B11002133;B11002134;B11002137;B11002138;B11002142;B11002143;B11002150;B11002152;B11002156;B11002164;B11002171;B11002172;B11002904;B11003238;B11003266;B11003267;B11003268;B11003270;B11003271;B11003272;B11003274;B11003275;B11003276;B11003277;B11003279;B11003283;B11003284;B11003337;B11003338;B11003344;B11003346;B11003347;B11004473;B11004474;B11004698;B11004705;B11004711;B11005126;B11005129;B11005130;B11005132;B11005133;B11005955;B11005956;B11005968;B11005969;B11005970;B11005971;B11005973;B11005995;B11005996;B11006007;B11006008;B11006110;B11006115;B11006116;B11006123;B11006124;B11006125;B11006126;B11006133;B11006139;B11006140;B11006147;B11006304,11580.590163934427,0.0032786885312816594
