Consumer,Contract,Hour,Mean,Std
Original1_B11000076,低圧,1,2.0655737704918034,0.3066932284240935
Original1_B11000076,低圧,2,2.0655737704918034,0.3066932284240935
Original1_B11000076,低圧,3,2.0491803278688523,0.28204345137844683
Original1_B11000076,低圧,4,2.0655737704918034,0.3066932284240935
Original1_B11000076,低圧,5,2.0655737704918034,0.3066932284240935
Original1_B11000076,低圧,6,2.0491803278688523,0.28204345137844683
Original1_B11000076,低圧,7,2.0655737704918034,0.3066932284240935
Original1_B11000076,低圧,8,4.0,1.8016385984276264
Original1_B11000076,低圧,9,5.147540983606557,2.455078814625971
Original1_B11000076,低圧,10,5.229508196721311,2.1224285704866626
Original1_B11000076,低圧,11,5.245901639344262,2.1089639885686244
Original1_B11000076,低圧,12,5.032786885245901,2.016060215035175
Original1_B11000076,低圧,13,4.885245901639344,1.7471134099998304
Original1_B11000076,低圧,14,4.852459016393443,1.80923011951756
Original1_B11000076,低圧,15,4.852459016393443,1.9403909152688923
Original1_B11000076,低圧,16,4.786885245901639,1.8564442841825661
Original1_B11000076,低圧,17,4.786885245901639,1.6307973921896246
Original1_B11000076,低圧,18,4.852459016393443,1.8001463107546627
Original1_B11000076,低圧,19,4.704918032786885,1.8407434554253377
Original1_B11000076,低圧,20,4.344262295081967,1.7071234159927626
Original1_B11000076,低圧,21,3.5901639344262297,1.371573813990288
Original1_B11000076,低圧,22,2.7049180327868854,0.9640124870812561
Original1_B11000076,低圧,23,2.1147540983606556,0.36656852090160486
Original1_B11000076,低圧,24,2.0491803278688523,0.28204345137844683
Original2_B11000077,低圧,1,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,2,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,3,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,4,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,5,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,6,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,7,1.0491803278688525,0.38094918159417196
Original2_B11000077,低圧,8,2.7540983606557377,1.478321353127278
Original2_B11000077,低圧,9,3.5081967213114753,1.9216023950285381
