Consumer,Year,Hour,Mean,Std
B11000004,2013,1,81.32786885245902,7.652279206169907
B11000004,2013,2,74.85245901639344,6.342544351635155
B11000004,2013,3,77.0,5.49241901776136
B11000004,2013,4,76.45901639344262,6.939197289052491
B11000004,2013,5,70.59016393442623,6.711624366674901
B11000004,2013,6,70.93442622950819,5.449369542919672
B11000004,2013,7,77.81967213114754,7.4218330995366
B11000004,2013,8,105.60655737704919,9.022709660489266
B11000004,2013,9,126.81967213114754,8.609119576978262
B11000004,2013,10,129.65573770491804,11.320902858432037
B11000004,2013,11,141.0655737704918,12.622557654795397
B11000004,2013,12,138.54098360655738,12.37143722517289
B11000004,2013,13,136.63934426229508,12.250214674153328
B11000004,2013,14,142.68852459016392,12.504053987416185
B11000004,2013,15,153.31147540983608,10.718428030898558
B11000004,2013,16,157.0983606557377,11.96760198484891
B11000004,2013,17,155.49180327868854,11.40558773996277
B11000004,2013,18,149.72131147540983,10.758145979583693
B11000004,2013,19,144.98360655737704,11.021935406691949
B11000004,2013,20,145.0,12.349089035228468
B11000004,2013,21,150.81967213114754,11.52462319951114
B11000004,2013,22,133.80327868852459,10.460751521968753
B11000004,2013,23,93.78688524590164,9.887896227372062
B11000004,2013,24,79.91803278688525,6.116358072053481
B11000005,2013,1,49.24590163934426,7.645599470076274
B11000005,2013,2,40.65573770491803,6.035686224177107
B11000005,2013,3,39.21311475409836,5.428673116266873
B11000005,2013,4,38.19672131147541,4.407643634003501
B11000005,2013,5,36.80327868852459,4.085827831791038
B11000005,2013,6,26.9672131147541,4.63309548471557
B11000005,2013,7,35.0,13.963046467969182
B11000005,2013,8,47.68852459016394,24.701916918602734
B11000005,2013,9,64.09836065573771,17.19467448372004
B11000005,2013,10,84.54098360655738,5.312167700954113
B11000005,2013,11,87.80327868852459,4.98270231946196
B11000005,2013,12,90.22950819672131,5.481464045985497
B11000005,2013,13,92.22950819672131,6.578737068827499
B11000005,2013,14,93.22950819672131,7.6188219619198145
B11000005,2013,15,93.39344262295081,7.594468795390037
B11000005,2013,16,92.88524590163935,6.83397971086574
B11000005,2013,17,91.67213114754098,5.396669687487552
B11000005,2013,18,91.75409836065573,3.7267310863763616
B11000005,2013,19,94.73770491803279,3.687373226495443
B11000005,2013,20,94.73770491803279,3.0435814393805987
B11000005,2013,21,94.22950819672131,2.7227035744087824
B11000005,2013,22,93.93442622950819,2.88021325864953
B11000005,2013,23,92.98360655737704,2.5198664202604637
B11000005,2013,24,90.67213114754098,3.6502114617987536
B11000007,2013,1,65.29508196721312,7.405728103513482
B11000007,2013,2,64.47540983606558,7.318029236930411
B11000007,2013,3,75.14754098360656,5.4492692646928065
B11000007,2013,4,69.98360655737704,8.059139332208886
B11000007,2013,5,65.55737704918033,8.032277780231322
B11000007,2013,6,61.704918032786885,7.916952827730044
B11000007,2013,7,80.34426229508196,9.174030822384164
B11000007,2013,8,112.19672131147541,10.254786966958646
B11000007,2013,9,124.06557377049181,9.479572515781882
B11000007,2013,10,133.72131147540983,14.256146215511146
B11000007,2013,11,161.78688524590163,15.662178173441012
B11000007,2013,12,162.40983606557376,16.307847854310644
B11000007,2013,13,162.31147540983608,17.227440304744984
B11000007,2013,14,160.7377049180328,17.076203363496095
B11000007,2013,15,159.75409836065575,13.73154001766847
B11000007,2013,16,160.29508196721312,15.717659136880702
B11000007,2013,17,155.88524590163934,14.919895398042328
B11000007,2013,18,147.01639344262296,14.364878237421864
B11000007,2013,19,142.68852459016392,13.502519497741348
B11000007,2013,20,143.81967213114754,12.20588409568832
B11000007,2013,21,136.9672131147541,9.62456442843823
B11000007,2013,22,108.01639344262296,7.9697172749491525
B11000007,2013,23,78.19672131147541,8.00587216179713
B11000007,2013,24,66.50819672131148,8.281752936063059
B11000008,2013,1,51.131147540983605,5.011571309932197
B11000008,2013,2,54.09836065573771,4.671562615202707
B11000008,2013,3,62.57377049180328,4.470119373474802
B11000008,2013,4,52.622950819672134,5.797022035569152
B11000008,2013,5,47.50819672131148,5.0814136839389885
B11000008,2013,6,46.77049180327869,5.02126625007063
B11000008,2013,7,60.57377049180328,6.373013458831551
B11000008,2013,8,79.11475409836065,7.622550668150694
B11000008,2013,9,106.31147540983606,11.373274204037225
B11000008,2013,10,111.9672131147541,15.057630638223216
B11000008,2013,11,120.1639344262295,15.269992717602337
B11000008,2013,12,117.95081967213115,15.803402829251887
B11000008,2013,13,118.01639344262296,16.539338764774012
B11000008,2013,14,115.75409836065573,13.14490489087555
B11000008,2013,15,122.81967213114754,13.731360938524766
B11000008,2013,16,118.06557377049181,15.41197462198254
B11000008,2013,17,112.0327868852459,15.44125125879242
B11000008,2013,18,106.80327868852459,14.18076123030912
B11000008,2013,19,105.44262295081967,12.501366045575358
B11000008,2013,20,102.98360655737704,9.95069813845355
B11000008,2013,21,102.8688524590164,9.954019974924813
B11000008,2013,22,59.63934426229508,6.055390950454109
B11000008,2013,23,53.377049180327866,5.215885781041827
B11000008,2013,24,50.09836065573771,4.559623222858028
B11000010,2013,1,52.75409836065574,4.918183057813518
B11000010,2013,2,55.049180327868854,4.627548773408361
B11000010,2013,3,53.85245901639344,4.388758615575975
B11000010,2013,4,50.40983606557377,4.13673401441414
B11000010,2013,5,47.81967213114754,4.890494851312123
B11000010,2013,6,58.22950819672131,5.067522217096343
B11000010,2013,7,52.21311475409836,6.483606902793023
B11000010,2013,8,96.54098360655738,7.614840270795362
B11000010,2013,9,118.1639344262295,10.556483517833724
B11000010,2013,10,122.57377049180327,12.235820387143972
B11000010,2013,11,143.5737704918033,12.222191587972867
B11000010,2013,12,151.78688524590163,10.962230238563624
B11000010,2013,13,148.9344262295082,14.046196225857752
B11000010,2013,14,145.34426229508196,13.937820544477342
B11000010,2013,15,145.8360655737705,12.97071101606597
B11000010,2013,16,140.36065573770492,11.175915752016694
B11000010,2013,17,138.81967213114754,12.116804029557892
B11000010,2013,18,145.50819672131146,10.741854201858684
B11000010,2013,19,133.29508196721312,9.360100181613232
B11000010,2013,20,129.50819672131146,8.50024107661987
B11000010,2013,21,137.672131147541,8.694291827544877
B11000010,2013,22,80.45901639344262,7.734282493099157
B11000010,2013,23,54.90163934426229,5.061965751342019
B11000010,2013,24,65.45901639344262,4.9550437956080104
B11000012,2013,1,4.360655737704918,1.2387195927683543
B11000012,2013,2,4.344262295081967,1.36485952759053
B11000012,2013,3,4.360655737704918,1.3666600026493534
B11000012,2013,4,4.344262295081967,1.36485952759053
B11000012,2013,5,4.377049180327869,1.4624629274643683
B11000012,2013,6,4.409836065573771,1.4762232123488628
B11000012,2013,7,4.442622950819672,1.57611960379423
B11000012,2013,8,4.491803278688525,1.5771593749488573
B11000012,2013,9,11.721311475409836,10.965295477917264
B11000012,2013,10,57.442622950819676,13.582494358749592
B11000012,2013,11,78.88524590163935,9.22514383023509
B11000012,2013,12,80.06557377049181,9.064341955264442
B11000012,2013,13,82.06557377049181,9.546149053342603
B11000012,2013,14,83.72131147540983,9.711043794809056
B11000012,2013,15,84.24590163934427,9.344616520943879
B11000012,2013,16,84.1311475409836,9.166015873569908
B11000012,2013,17,83.14754098360656,8.545634490923364
B11000012,2013,18,89.44262295081967,8.490238689546041
B11000012,2013,19,89.95081967213115,7.29023600328594
B11000012,2013,20,89.78688524590164,7.137027285217941
B11000012,2013,21,63.704918032786885,14.044387090335034
B11000012,2013,22,13.37704918032787,16.43387145950524
B11000012,2013,23,4.704918032786885,3.174608964345488
B11000012,2013,24,4.295081967213115,0.8434900176268035
B11000014,2013,1,122.36065573770492,19.56104358743439
B11000014,2013,2,109.47540983606558,19.542779192817868
